Well,Compound,Concentration,Spheroid,WellType,Mask
C7,MOE#2,3,Cortical,Empty,0
C8,MOE#2,30,Cortical,Empty,0
C9,MOE#2,30,Cortical,Empty,0
C10,MOE#2,30,Cortical,Empty,0
C11,MOE#2,30,Cortical,Empty,0
C12,MOE#2,30,Cortical,Empty,0
C13,MOE#2,30,Cortical,Empty,0
C14,MOE#2,60,Cortical,Empty,0
C15,MOE#2,60,Cortical,Empty,0
C16,MOE#2,60,Cortical,Empty,0
C17,MOE#2,60,Cortical,Empty,0
C18,MOE#2,60,Cortical,Empty,0
C19,MOE#2,60,Cortical,Empty,0
C20,MOE#2,120,Cortical,Empty,0
C21,MOE#2,120,Cortical,Empty,0
C22,MOE#2,120,Cortical,Empty,0
C23,MOE#2,120,Cortical,Empty,0
C24,Empty,,Cortical,Empty,0
D1,Empty,,Cortical,Empty,0
D2,MOE#3,3,Cortical,Empty,0
D3,MOE#3,3,Cortical,Empty,0
D4,MOE#3,3,Cortical,Empty,0
D5,MOE#3,3,Cortical,Empty,0
D6,MOE#3,3,Cortical,Empty,0
D7,MOE#3,3,Cortical,Empty,0
D8,MOE#3,30,Cortical,Empty,0
D9,MOE#3,30,Cortical,Empty,0
D10,MOE#3,30,Cortical,Empty,0
D11,MOE#3,30,Cortical,Empty,0
D12,MOE#3,30,Cortical,Empty,0
D13,MOE#3,30,Cortical,Empty,0
D14,MOE#3,60,Cortical,Empty,0
D15,MOE#3,60,Cortical,Empty,0
D16,MOE#3,60,Cortical,Empty,0
D17,MOE#3,60,Cortical,Empty,0
D18,MOE#3,60,Cortical,Empty,0
D19,MOE#3,60,Cortical,Empty,0
D20,MOE#3,120,Cortical,Empty,0
D21,MOE#3,120,Cortical,Empty,0
D22,MOE#3,120,Cortical,Empty,0
D23,MOE#3,120,Cortical,Empty,0
D24,Empty,,Cortical,Empty,0
E1,Empty,,Cortical,Empty,0
E2,ON#2,3,Cortical,Test,0
E3,ON#2,3,Cortical,Test,0
E4,ON#2,3,Cortical,Test,0
E5,ON#2,3,Cortical,Test,0
E6,ON#2,3,Cortical,Test,0
E7,ON#2,3,Cortical,Test,0
E8,ON#2,30,Cortical,Test,0
E9,ON#2,30,Cortical,Test,0
E10,ON#2,30,Cortical,Test,0
E11,ON#2,30,Cortical,Test,0
E12,ON#2,30,Cortical,Test,0
E13,ON#2,30,Cortical,Test,0
E14,ON#2,60,Cortical,Test,0
E15,ON#2,60,Cortical,Test,0
E16,ON#2,60,Cortical,Test,0
E17,ON#2,60,Cortical,Test,0
E18,ON#2,60,Cortical,Test,0
E19,ON#2,60,Cortical,Test,0
E20,ON#2,120,Cortical,Test,0
E21,ON#2,120,Cortical,Test,0
E22,ON#2,120,Cortical,Test,0
E23,ON#2,120,Cortical,Test,0
E24,Empty,,Cortical,Empty,0
F1,Empty,,Cortical,Empty,0
F2,MOE#5,3,Cortical,Empty,0
F3,MOE#5,3,Cortical,Empty,0
F4,MOE#5,3,Cortical,Empty,0
F5,MOE#5,3,Cortical,Empty,0
F6,MOE#5,3,Cortical,Empty,0
F7,MOE#5,3,Cortical,Empty,0
F8,MOE#5,30,Cortical,Empty,0
F9,MOE#5,30,Cortical,Empty,0
F10,MOE#5,30,Cortical,Empty,0
F11,MOE#5,30,Cortical,Empty,0
F12,MOE#5,30,Cortical,Empty,0
F13,MOE#5,30,Cortical,Empty,0
F14,MOE#5,60,Cortical,Empty,0
F15,MOE#5,60,Cortical,Empty,0
F16,MOE#5,60,Cortical,Empty,0
F17,MOE#5,60,Cortical,Empty,0
F18,MOE#5,60,Cortical,Empty,0
F19,MOE#5,60,Cortical,Empty,0
F20,MOE#5,120,Cortical,Empty,0
F21,MOE#5,120,Cortical,Empty,0
F22,MOE#5,120,Cortical,Empty,0
F23,MOE#5,120,Cortical,Empty,0
F24,Empty,,Cortical,Empty,0
G1,Empty,,Cortical,Empty,0
G2,ON#3,3,Cortical,Test,0
G3,ON#3,3,Cortical,Test,0
G4,ON#3,3,Cortical,Test,0
G5,ON#3,3,Cortical,Test,0
G6,ON#3,3,Cortical,Test,0
G7,ON#3,3,Cortical,Test,0
G8,ON#3,30,Cortical,Test,0
G9,ON#3,30,Cortical,Test,0
G10,ON#3,30,Cortical,Test,0
G11,ON#3,30,Cortical,Test,0
G12,ON#3,30,Cortical,Test,0
G13,ON#3,30,Cortical,Test,0
G14,ON#3,60,Cortical,Test,0
G15,ON#3,60,Cortical,Test,0
G16,ON#3,60,Cortical,Test,0
G17,ON#3,60,Cortical,Test,0
G18,ON#3,60,Cortical,Test,0
G19,ON#3,60,Cortical,Test,0
G20,ON#3,120,Cortical,Test,0
G21,ON#3,120,Cortical,Test,0
G22,ON#3,120,Cortical,Test,0
G23,ON#3,120,Cortical,Test,0
G24,Empty,,Cortical,Empty,0
H1,Empty,,Cortical,Empty,0
H2,Veh,0,Cortical,Negative Control,0
H3,Veh,0,Cortical,Negative Control,0
H4,Veh,0,Cortical,Negative Control,0
H5,Veh,0,Cortical,Negative Control,0
H6,Veh,0,Cortical,Negative Control,0
H7,Veh,0,Cortical,Negative Control,0
H8,Veh,0,Cortical,Negative Control,0
H9,Veh,0,Cortical,Negative Control,0
H10,Veh,0,Cortical,Negative Control,0
H11,Veh,0,Cortical,Negative Control,0
H12,Veh,0,Cortical,Negative Control,0
H13,Veh,0,Cortical,Negative Control,0
H14,Veh,0,Cortical,Negative Control,0
H15,Veh,0,Cortical,Negative Control,0
H16,Veh,0,Cortical,Negative Control,1
H17,Veh,0,Cortical,Negative Control,0
H18,Veh,0,Cortical,Negative Control,0
H19,Veh,0,Cortical,Negative Control,0
H20,Veh,0,Cortical,Negative Control,0
H21,Veh,0,Cortical,Negative Control,0
H22,Veh,0,Cortical,Negative Control,0
H23,Veh,0,Cortical,Negative Control,0
H24,Empty,,Cortical,Empty,0
I1,Empty,,Cortical,Empty,0
I2,MOE#7,3,Cortical,Empty,0
I3,MOE#7,3,Cortical,Empty,0
I4,MOE#7,3,Cortical,Empty,0
I5,MOE#7,3,Cortical,Empty,0
I6,MOE#7,3,Cortical,Empty,0
I7,MOE#7,3,Cortical,Empty,0
I8,MOE#7,30,Cortical,Empty,0
I9,MOE#7,30,Cortical,Empty,0
I10,MOE#7,30,Cortical,Empty,0
I11,MOE#7,30,Cortical,Empty,0
I12,MOE#7,30,Cortical,Empty,0
I13,MOE#7,30,Cortical,Empty,0
I14,MOE#7,60,Cortical,Empty,0
I15,MOE#7,60,Cortical,Empty,0
I16,MOE#7,60,Cortical,Empty,0
I17,MOE#7,60,Cortical,Empty,0
I18,MOE#7,60,Cortical,Empty,0
I19,MOE#7,60,Cortical,Empty,0
I20,MOE#7,120,Cortical,Empty,0
I21,MOE#7,120,Cortical,Empty,0
I22,MOE#7,120,Cortical,Empty,0
I23,MOE#7,120,Cortical,Empty,0
I24,Empty,,Cortical,Empty,0
J1,Empty,,Cortical,Empty,0
J2,MOE#8,3,Cortical,Empty,0
J3,MOE#8,3,Cortical,Empty,0
J4,MOE#8,3,Cortical,Empty,0
J5,MOE#8,3,Cortical,Empty,0
J6,MOE#8,3,Cortical,Empty,0
J7,MOE#8,3,Cortical,Empty,0
J8,MOE#8,30,Cortical,Empty,0
J9,MOE#8,30,Cortical,Empty,0
J10,MOE#8,30,Cortical,Empty,0
J11,MOE#8,30,Cortical,Empty,0
J12,MOE#8,30,Cortical,Empty,0
J13,MOE#8,30,Cortical,Empty,0
J14,MOE#8,60,Cortical,Empty,0
J15,MOE#8,60,Cortical,Empty,0
J16,MOE#8,60,Cortical,Empty,0
J17,MOE#8,60,Cortical,Empty,0
J18,MOE#8,60,Cortical,Empty,0
J19,MOE#8,60,Cortical,Empty,0
J20,MOE#8,120,Cortical,Empty,0
J21,MOE#8,120,Cortical,Empty,0
J22,MOE#8,120,Cortical,Empty,0
J23,MOE#8,120,Cortical,Empty,0
J24,Empty,,Cortical,Empty,0
K1,Empty,,Cortical,Empty,0
K2,MOE#9,3,Cortical,Empty,0
K3,MOE#9,3,Cortical,Empty,0
K4,MOE#9,3,Cortical,Empty,0
K5,MOE#9,3,Cortical,Empty,0
K6,MOE#9,3,Cortical,Empty,0
K7,MOE#9,3,Cortical,Empty,0
K8,MOE#9,30,Cortical,Empty,0
K9,MOE#9,30,Cortical,Empty,0
K10,MOE#9,30,Cortical,Empty,0
K11,MOE#9,30,Cortical,Empty,0
K12,MOE#9,30,Cortical,Empty,0
K13,MOE#9,30,Cortical,Empty,0
K14,MOE#9,60,Cortical,Positive Control,0
K15,MOE#9,60,Cortical,Positive Control,0
K16,MOE#9,60,Cortical,Positive Control,0
K17,MOE#9,60,Cortical,Positive Control,0
K18,MOE#9,60,Cortical,Positive Control,0
K19,MOE#9,60,Cortical,Positive Control,0
K20,MOE#9,120,Cortical,Empty,0
K21,MOE#9,120,Cortical,Empty,0
K22,MOE#9,120,Cortical,Empty,0
K23,MOE#9,120,Cortical,Empty,0
K24,Empty,,Cortical,Empty,0
L1,Empty,,Cortical,Empty,0
L2,MOE#10,3,Cortical,Empty,0
L3,MOE#10,3,Cortical,Empty,0
L4,MOE#10,3,Cortical,Empty,0
L5,MOE#10,3,Cortical,Empty,0
L6,MOE#10,3,Cortical,Empty,0
L7,MOE#10,3,Cortical,Empty,0
L8,MOE#10,30,Cortical,Empty,0
L9,MOE#10,30,Cortical,Empty,0
L10,MOE#10,30,Cortical,Empty,0
L11,MOE#10,30,Cortical,Empty,0
L12,MOE#10,30,Cortical,Empty,0
L13,MOE#10,30,Cortical,Empty,0
L14,MOE#10,60,Cortical,Empty,0
L15,MOE#10,60,Cortical,Empty,0
L16,MOE#10,60,Cortical,Empty,0
L17,MOE#10,60,Cortical,Empty,0
L18,MOE#10,60,Cortical,Empty,0
L19,MOE#10,60,Cortical,Empty,0
L20,MOE#10,120,Cortical,Empty,0
L21,MOE#10,120,Cortical,Empty,0
L22,MOE#10,120,Cortical,Empty,0
L23,MOE#10,120,Cortical,Empty,0
L24,Empty,,Cortical,Empty,0
M1,Empty,,Cortical,Empty,0
M2,MOE#11,3,Cortical,Empty,0
M3,MOE#11,3,Cortical,Empty,0
M4,MOE#11,3,Cortical,Empty,0
M5,MOE#11,3,Cortical,Empty,0
M6,MOE#11,3,Cortical,Empty,0
M7,MOE#11,3,Cortical,Empty,0
M8,MOE#11,30,Cortical,Empty,0
M9,MOE#11,30,Cortical,Empty,0
M10,MOE#11,30,Cortical,Empty,0
M11,MOE#11,30,Cortical,Empty,0
M12,MOE#11,30,Cortical,Empty,0
M13,MOE#11,30,Cortical,Empty,0
M14,MOE#11,60,Cortical,Empty,0
M15,MOE#11,60,Cortical,Empty,0
M16,MOE#11,60,Cortical,Empty,0
M17,MOE#11,60,Cortical,Empty,0
M18,MOE#11,60,Cortical,Empty,0
M19,MOE#11,60,Cortical,Empty,0
M20,MOE#11,120,Cortical,Empty,0
M21,MOE#11,120,Cortical,Empty,0
M22,MOE#11,120,Cortical,Empty,0
M23,MOE#11,120,Cortical,Empty,0
M24,Empty,,Cortical,Empty,0
N1,Empty,,Cortical,Empty,0
N2,MOE#12,3,Cortical,Empty,0
N3,MOE#12,3,Cortical,Empty,0
N4,MOE#12,3,Cortical,Empty,0
N5,MOE#12,3,Cortical,Empty,0
N6,MOE#12,3,Cortical,Empty,0
N7,MOE#12,3,Cortical,Empty,0
N8,MOE#12,30,Cortical,Empty,0
N9,MOE#12,30,Cortical,Empty,0
N10,MOE#12,30,Cortical,Empty,0
N11,MOE#12,30,Cortical,Empty,0
N12,MOE#12,30,Cortical,Empty,0
N13,MOE#12,30,Cortical,Empty,0
N14,MOE#12,60,Cortical,Empty,0
N15,MOE#12,60,Cortical,Empty,0
N16,MOE#12,60,Cortical,Empty,0
N17,MOE#12,60,Cortical,Empty,0
N18,MOE#12,60,Cortical,Empty,0
N19,MOE#12,60,Cortical,Empty,0
N20,MOE#12,120,Cortical,Empty,0
N21,MOE#12,120,Cortical,Empty,0
N22,MOE#12,120,Cortical,Empty,0
N23,MOE#12,120,Cortical,Empty,0
N24,Empty,,Cortical,Empty,0
O1,Empty,,Cortical,Empty,0
O2,Empty,,Cortical,Empty,0
O3,Empty,,Cortical,Empty,0
O4,Empty,,Cortical,Empty,0
O5,Empty,,Cortical,Empty,0
O6,Empty,,Cortical,Empty,0
O7,Empty,,Cortical,Empty,0
O8,Empty,,Cortical,Empty,0
O9,Empty,,Cortical,Empty,0
O10,Empty,,Cortical,Empty,0
O11,Empty,,Cortical,Empty,0
O12,Empty,,Cortical,Empty,0
O13,Empty,,Cortical,Empty,0
O14,Empty,,Cortical,Empty,0
O15,Empty,,Cortical,Empty,0
O16,Empty,,Cortical,Empty,0
O17,Empty,,Cortical,Empty,0
O18,Empty,,Cortical,Empty,0
O19,Empty,,Cortical,Empty,0
O20,Empty,,Cortical,Empty,0
O21,Empty,,Cortical,Empty,0
O22,Empty,,Cortical,Empty,0
O23,Empty,,Cortical,Empty,0
O24,Empty,,Cortical,Empty,0
P1,Empty,,Cortical,Empty,0
P2,Empty,,Cortical,Empty,0
P3,Empty,,Cortical,Empty,0
P4,Empty,,Cortical,Empty,0
P5,Empty,,Cortical,Empty,0
P6,Empty,,Cortical,Empty,0
P7,Empty,,Cortical,Empty,0
P8,Empty,,Cortical,Empty,0
P9,Empty,,Cortical,Empty,0
P10,Empty,,Cortical,Empty,0
P11,Empty,,Cortical,Empty,0
P12,Empty,,Cortical,Empty,0
P13,Empty,,Cortical,Empty,0
P14,Empty,,Cortical,Empty,0
P15,Empty,,Cortical,Empty,0
P16,Empty,,Cortical,Empty,0
P17,Empty,,Cortical,Empty,0
P18,Empty,,Cortical,Empty,0
P19,Empty,,Cortical,Empty,0
P20,Empty,,Cortical,Empty,0
P21,Empty,,Cortical,Empty,0
P22,Empty,,Cortical,Empty,0
P23,Empty,,Cortical,Empty,0
P24,Empty,,Cortical,Empty,0
