Well,Compound,Concentration,Spheroid,WellType,Mask
A1,Empty,,Cortical,Empty,0
A2,Empty,,Cortical,Empty,0
A3,Empty,,Cortical,Empty,0
A4,Empty,,Cortical,Empty,0
A5,Empty,,Cortical,Empty,0
A6,Empty,,Cortical,Empty,0
A7,Empty,,Cortical,Empty,0
A8,Empty,,Cortical,Empty,0
A9,Empty,,Cortical,Empty,0
A10,Empty,,Cortical,Empty,0
A11,Empty,,Cortical,Empty,0
A12,Empty,,Cortical,Empty,0
A13,Empty,,Cortical,Empty,0
A14,Empty,,Cortical,Empty,0
A15,Empty,,Cortical,Empty,0
A16,Empty,,Cortical,Empty,0
A17,Empty,,Cortical,Empty,0
A18,Empty,,Cortical,Empty,0
A19,Empty,,Cortical,Empty,0
A20,Empty,,Cortical,Empty,0
A21,Empty,,Cortical,Empty,0
A22,Empty,,Cortical,Empty,0
A23,Empty,,Cortical,Empty,0
A24,Empty,,Cortical,Empty,0
B1,Empty,,Cortical,Empty,0
B2,ON#1,3,Cortical,Test,0
B3,ON#1,3,Cortical,Test,0
B4,ON#1,3,Cortical,Test,0
B5,ON#1,3,Cortical,Test,0
B6,ON#1,3,Cortical,Test,0
B7,ON#1,3,Cortical,Test,0
B8,ON#1,30,Cortical,Test,0
B9,ON#1,30,Cortical,Test,0
B10,ON#1,30,Cortical,Test,0
B11,ON#1,30,Cortical,Test,0
B12,ON#1,30,Cortical,Test,0
B13,ON#1,30,Cortical,Test,0
B14,ON#1,60,Cortical,Test,0
B15,ON#1,60,Cortical,Test,0
B16,ON#1,60,Cortical,Test,0
B17,ON#1,60,Cortical,Test,0
B18,ON#1,60,Cortical,Test,0
B19,ON#1,60,Cortical,Test,0
B20,ON#1,120,Cortical,Test,0
B21,ON#1,120,Cortical,Test,0
B22,ON#1,120,Cortical,Test,0
B23,ON#1,120,Cortical,Test,0
B24,Empty,,Cortical,Empty,0
C1,Empty,,Cortical,Empty,0
C2,MOE#2,3,Cortical,Empty,0
C3,MOE#2,3,Cortical,Empty,0
C4,MOE#2,3,Cortical,Empty,0
C5,MOE#2,3,Cortical,Empty,0
C6,MOE#2,3,Cortical,Empty,0
