Well,Compound,Concentration,Spheroid,WellType,Mask
H19,Veh,0,PFC,Negative Control,0
H20,Veh,0,PFC,Negative Control,0
H21,Veh,0,PFC,Negative Control,0
H22,Veh,0,PFC,Negative Control,0
H23,Veh,0,PFC,Negative Control,1
H24,Empty,,PFC,Empty,0
I1,Empty,,PFC,Empty,0
I2,ASO7,3,PFC,Test,0
I3,ASO7,3,PFC,Test,0
I4,ASO7,3,PFC,Test,0
I5,ASO7,3,PFC,Test,0
I6,ASO7,3,PFC,Test,0
I7,ASO7,3,PFC,Test,0
I8,ASO7,30,PFC,Test,0
I9,ASO7,30,PFC,Test,0
I10,ASO7,30,PFC,Test,0
I11,ASO7,30,PFC,Test,0
I12,ASO7,30,PFC,Test,0
I13,ASO7,30,PFC,Test,0
I14,ASO7,60,PFC,Test,0
I15,ASO7,60,PFC,Test,0
I16,ASO7,60,PFC,Test,0
I17,ASO7,60,PFC,Test,0
I18,ASO7,60,PFC,Test,0
I19,ASO7,60,PFC,Test,0
I20,ASO7,120,PFC,Test,0
I21,ASO7,120,PFC,Test,0
I22,ASO7,120,PFC,Test,0
I23,ASO7,120,PFC,Test,0
I24,Empty,,PFC,Empty,0
J1,Empty,,PFC,Empty,0
J2,ASO8,3,PFC,Test,0
J3,ASO8,3,PFC,Test,0
J4,ASO8,3,PFC,Test,0
J5,ASO8,3,PFC,Test,0
J6,ASO8,3,PFC,Test,0
J7,ASO8,3,PFC,Test,0
J8,ASO8,30,PFC,Test,0
J9,ASO8,30,PFC,Test,0
J10,ASO8,30,PFC,Test,0
J11,ASO8,30,PFC,Test,0
J12,ASO8,30,PFC,Test,0
J13,ASO8,30,PFC,Test,0
J14,ASO8,60,PFC,Test,0
J15,ASO8,60,PFC,Test,0
J16,ASO8,60,PFC,Test,0
J17,ASO8,60,PFC,Test,0
J18,ASO8,60,PFC,Test,0
J19,ASO8,60,PFC,Test,0
J20,ASO8,120,PFC,Test,0
J21,ASO8,120,PFC,Test,0
J22,ASO8,120,PFC,Test,0
J23,ASO8,120,PFC,Test,0
J24,Empty,,PFC,Empty,0
K1,Empty,,PFC,Empty,0
K2,ASO9,3,PFC,Test,0
K3,ASO9,3,PFC,Test,0
K4,ASO9,3,PFC,Test,0
K5,ASO9,3,PFC,Test,0
K6,ASO9,3,PFC,Test,0
K7,ASO9,3,PFC,Test,0
K8,ASO9,30,PFC,Test,0
K9,ASO9,30,PFC,Test,0
K10,ASO9,30,PFC,Test,0
K11,ASO9,30,PFC,Test,0
K12,ASO9,30,PFC,Test,0
K13,ASO9,30,PFC,Test,0
K14,ASO9,60,PFC,Test,0
K15,ASO9,60,PFC,Test,0
K16,ASO9,60,PFC,Test,0
K17,ASO9,60,PFC,Test,0
K18,ASO9,60,PFC,Test,0
K19,ASO9,60,PFC,Test,0
K20,ASO9,120,PFC,Test,0
K21,ASO9,120,PFC,Test,0
K22,ASO9,120,PFC,Test,0
K23,ASO9,120,PFC,Test,0
K24,Empty,,PFC,Empty,0
L1,Empty,,PFC,Empty,0
L2,ASO10,3,PFC,Test,0
L3,ASO10,3,PFC,Test,0
L4,ASO10,3,PFC,Test,0
L5,ASO10,3,PFC,Test,1
L6,ASO10,3,PFC,Test,0
L7,ASO10,3,PFC,Test,0
L8,ASO10,30,PFC,Test,0
L9,ASO10,30,PFC,Test,0
L10,ASO10,30,PFC,Test,0
L11,ASO10,30,PFC,Test,0
L12,ASO10,30,PFC,Test,0
L13,ASO10,30,PFC,Test,0
L14,ASO10,60,PFC,Test,0
L15,ASO10,60,PFC,Test,0
L16,ASO10,60,PFC,Test,0
L17,ASO10,60,PFC,Test,0
L18,ASO10,60,PFC,Test,0
L19,ASO10,60,PFC,Test,0
L20,ASO10,120,PFC,Test,0
L21,ASO10,120,PFC,Test,0
L22,ASO10,120,PFC,Test,0
L23,ASO10,120,PFC,Test,0
L24,Empty,,PFC,Empty,0
M1,Empty,,PFC,Empty,0
M2,ASO11,3,PFC,Test,0
M3,ASO11,3,PFC,Test,0
M4,ASO11,3,PFC,Test,0
M5,ASO11,3,PFC,Test,0
M6,ASO11,3,PFC,Test,0
M7,ASO11,3,PFC,Test,0
M8,ASO11,30,PFC,Test,0
M9,ASO11,30,PFC,Test,0
M10,ASO11,30,PFC,Test,0
M11,ASO11,30,PFC,Test,0
M12,ASO11,30,PFC,Test,0
M13,ASO11,30,PFC,Test,0
M14,ASO11,60,PFC,Test,0
M15,ASO11,60,PFC,Test,0
M16,ASO11,60,PFC,Test,0
M17,ASO11,60,PFC,Test,0
M18,ASO11,60,PFC,Test,0
M19,ASO11,60,PFC,Test,0
M20,ASO11,120,PFC,Test,0
M21,ASO11,120,PFC,Test,0
M22,ASO11,120,PFC,Test,0
M23,ASO11,120,PFC,Test,0
M24,Empty,,PFC,Empty,0
N1,Empty,,PFC,Empty,0
N2,ASO12,3,PFC,Test,0
N3,ASO12,3,PFC,Test,0
N4,ASO12,3,PFC,Test,0
N5,ASO12,3,PFC,Test,0
N6,ASO12,3,PFC,Test,0
N7,ASO12,3,PFC,Test,0
N8,ASO12,30,PFC,Test,0
N9,ASO12,30,PFC,Test,0
N10,ASO12,30,PFC,Test,0
N11,ASO12,30,PFC,Test,0
N12,ASO12,30,PFC,Test,0
N13,ASO12,30,PFC,Test,0
N14,ASO12,60,PFC,Test,0
N15,ASO12,60,PFC,Test,0
N16,ASO12,60,PFC,Test,0
N17,ASO12,60,PFC,Test,0
N18,ASO12,60,PFC,Test,0
N19,ASO12,60,PFC,Test,0
N20,ASO12,120,PFC,Test,0
N21,ASO12,120,PFC,Test,0
N22,ASO12,120,PFC,Test,0
N23,ASO12,120,PFC,Test,0
N24,Empty,,PFC,Empty,0
O1,Empty,,PFC,Empty,0
O2,ASO25,3,PFC,Test,0
O3,ASO25,3,PFC,Test,0
O4,ASO25,3,PFC,Test,0
O5,ASO25,3,PFC,Test,0
O6,ASO25,3,PFC,Test,0
O7,ASO25,3,PFC,Test,0
O8,ASO25,30,PFC,Test,0
O9,ASO25,30,PFC,Test,0
O10,ASO25,30,PFC,Test,0
O11,ASO25,30,PFC,Test,0
O12,ASO25,30,PFC,Test,0
O13,ASO25,30,PFC,Test,0
O14,ASO25,60,PFC,Positive Control,0
O15,ASO25,60,PFC,Positive Control,0
O16,ASO25,60,PFC,Positive Control,0
O17,ASO25,60,PFC,Positive Control,0
O18,ASO25,60,PFC,Positive Control,0
O19,ASO25,60,PFC,Positive Control,0
O20,ASO25,120,PFC,Test,0
O21,ASO25,120,PFC,Test,0
O22,ASO25,120,PFC,Test,0
O23,ASO25,120,PFC,Test,0
O24,Empty,,PFC,Empty,0
P1,Empty,,PFC,Empty,0
P2,Empty,,PFC,Empty,0
P3,Empty,,PFC,Empty,0
P4,Empty,,PFC,Empty,0
P5,Empty,,PFC,Empty,0
P6,Empty,,PFC,Empty,0
P7,Empty,,PFC,Empty,0
P8,Empty,,PFC,Empty,0
P9,Empty,,PFC,Empty,0
P10,Empty,,PFC,Empty,0
P11,Empty,,PFC,Empty,0
P12,Empty,,PFC,Empty,0
P13,Empty,,PFC,Empty,0
P14,Empty,,PFC,Empty,0
P15,Empty,,PFC,Empty,0
P16,Empty,,PFC,Empty,0
P17,Empty,,PFC,Empty,0
P18,Empty,,PFC,Empty,0
P19,Empty,,PFC,Empty,0
P20,Empty,,PFC,Empty,0
P21,Empty,,PFC,Empty,0
P22,Empty,,PFC,Empty,0
P23,Empty,,PFC,Empty,0
P24,Empty,,PFC,Empty,0
