Well,Compound,Concentration,Spheroid,WellType,Mask
A1,Empty,,PFC,Empty,0
A2,Empty,,PFC,Empty,0
A3,Empty,,PFC,Empty,0
A4,Empty,,PFC,Empty,0
A5,Empty,,PFC,Empty,0
A6,Empty,,PFC,Empty,0
A7,Empty,,PFC,Empty,0
A8,Empty,,PFC,Empty,0
A9,Empty,,PFC,Empty,0
A10,Empty,,PFC,Empty,0
A11,Empty,,PFC,Empty,0
A12,Empty,,PFC,Empty,0
A13,Empty,,PFC,Empty,0
A14,Empty,,PFC,Empty,0
A15,Empty,,PFC,Empty,0
A16,Empty,,PFC,Empty,0
A17,Empty,,PFC,Empty,0
A18,Empty,,PFC,Empty,0
A19,Empty,,PFC,Empty,0
A20,Empty,,PFC,Empty,0
A21,Empty,,PFC,Empty,0
A22,Empty,,PFC,Empty,0
A23,Empty,,PFC,Empty,0
A24,Empty,,PFC,Empty,0
B1,Empty,,PFC,Empty,0
B2,ASO1,3,PFC,Test,0
B3,ASO1,3,PFC,Test,0
B4,ASO1,3,PFC,Test,0
B5,ASO1,3,PFC,Test,0
B6,ASO1,3,PFC,Test,0
B7,ASO1,3,PFC,Test,0
B8,ASO1,30,PFC,Test,0
B9,ASO1,30,PFC,Test,0
B10,ASO1,30,PFC,Test,0
B11,ASO1,30,PFC,Test,0
B12,ASO1,30,PFC,Test,0
B13,ASO1,30,PFC,Test,0
B14,ASO1,60,PFC,Test,0
B15,ASO1,60,PFC,Test,0
B16,ASO1,60,PFC,Test,0
B17,ASO1,60,PFC,Test,0
B18,ASO1,60,PFC,Test,0
B19,ASO1,60,PFC,Test,0
B20,ASO1,120,PFC,Test,0
B21,ASO1,120,PFC,Test,0
B22,ASO1,120,PFC,Test,0
B23,ASO1,120,PFC,Test,0
B24,Empty,,PFC,Empty,0
C1,Empty,,PFC,Empty,0
C2,ASO2,3,PFC,Test,0
C3,ASO2,3,PFC,Test,0
C4,ASO2,3,PFC,Test,0
C5,ASO2,3,PFC,Test,0
C6,ASO2,3,PFC,Test,0
C7,ASO2,3,PFC,Test,0
C8,ASO2,30,PFC,Test,0
C9,ASO2,30,PFC,Test,0
C10,ASO2,30,PFC,Test,0
C11,ASO2,30,PFC,Test,0
C12,ASO2,30,PFC,Test,0
C13,ASO2,30,PFC,Test,0
C14,ASO2,60,PFC,Test,0
C15,ASO2,60,PFC,Test,0
C16,ASO2,60,PFC,Test,0
C17,ASO2,60,PFC,Test,0
C18,ASO2,60,PFC,Test,0
C19,ASO2,60,PFC,Test,0
C20,ASO2,120,PFC,Test,0
C21,ASO2,120,PFC,Test,0
C22,ASO2,120,PFC,Test,0
C23,ASO2,120,PFC,Test,0
C24,Empty,,PFC,Empty,0
D1,Empty,,PFC,Empty,0
D2,ASO3,3,PFC,Test,0
D3,ASO3,3,PFC,Test,0
D4,ASO3,3,PFC,Test,0
D5,ASO3,3,PFC,Test,0
D6,ASO3,3,PFC,Test,0
D7,ASO3,3,PFC,Test,0
D8,ASO3,30,PFC,Test,0
D9,ASO3,30,PFC,Test,0
D10,ASO3,30,PFC,Test,0
D11,ASO3,30,PFC,Test,0
D12,ASO3,30,PFC,Test,0
D13,ASO3,30,PFC,Test,0
D14,ASO3,60,PFC,Test,0
D15,ASO3,60,PFC,Test,0
D16,ASO3,60,PFC,Test,0
D17,ASO3,60,PFC,Test,0
D18,ASO3,60,PFC,Test,0
D19,ASO3,60,PFC,Test,0
D20,ASO3,120,PFC,Test,0
D21,ASO3,120,PFC,Test,0
D22,ASO3,120,PFC,Test,0
D23,ASO3,120,PFC,Test,0
D24,Empty,,PFC,Empty,0
E1,Empty,,PFC,Empty,0
E2,ASO4,3,PFC,Test,0
E3,ASO4,3,PFC,Test,0
E4,ASO4,3,PFC,Test,0
E5,ASO4,3,PFC,Test,0
E6,ASO4,3,PFC,Test,0
E7,ASO4,3,PFC,Test,0
E8,ASO4,30,PFC,Test,0
E9,ASO4,30,PFC,Test,0
E10,ASO4,30,PFC,Test,0
E11,ASO4,30,PFC,Test,0
E12,ASO4,30,PFC,Test,0
E13,ASO4,30,PFC,Test,0
E14,ASO4,60,PFC,Test,0
E15,ASO4,60,PFC,Test,0
E16,ASO4,60,PFC,Test,0
E17,ASO4,60,PFC,Test,0
E18,ASO4,60,PFC,Test,0
E19,ASO4,60,PFC,Test,0
E20,ASO4,120,PFC,Test,0
E21,ASO4,120,PFC,Test,0
E22,ASO4,120,PFC,Test,0
E23,ASO4,120,PFC,Test,0
E24,Empty,,PFC,Empty,0
F1,Empty,,PFC,Empty,0
F2,ASO5,3,PFC,Test,0
F3,ASO5,3,PFC,Test,0
F4,ASO5,3,PFC,Test,0
F5,ASO5,3,PFC,Test,0
F6,ASO5,3,PFC,Test,0
F7,ASO5,3,PFC,Test,0
F8,ASO5,30,PFC,Test,0
F9,ASO5,30,PFC,Test,0
F10,ASO5,30,PFC,Test,0
F11,ASO5,30,PFC,Test,0
F12,ASO5,30,PFC,Test,0
F13,ASO5,30,PFC,Test,0
F14,ASO5,60,PFC,Test,0
F15,ASO5,60,PFC,Test,0
F16,ASO5,60,PFC,Test,0
F17,ASO5,60,PFC,Test,0
F18,ASO5,60,PFC,Test,0
F19,ASO5,60,PFC,Test,0
F20,ASO5,120,PFC,Test,0
F21,ASO5,120,PFC,Test,0
F22,ASO5,120,PFC,Test,0
F23,ASO5,120,PFC,Test,0
F24,Empty,,PFC,Empty,0
G1,Empty,,PFC,Empty,0
G2,ASO6,3,PFC,Test,0
G3,ASO6,3,PFC,Test,0
G4,ASO6,3,PFC,Test,0
G5,ASO6,3,PFC,Test,0
G6,ASO6,3,PFC,Test,0
G7,ASO6,3,PFC,Test,0
G8,ASO6,30,PFC,Test,0
G9,ASO6,30,PFC,Test,0
G10,ASO6,30,PFC,Test,0
G11,ASO6,30,PFC,Test,0
G12,ASO6,30,PFC,Test,0
G13,ASO6,30,PFC,Test,0
G14,ASO6,60,PFC,Test,0
G15,ASO6,60,PFC,Test,0
G16,ASO6,60,PFC,Test,0
G17,ASO6,60,PFC,Test,0
G18,ASO6,60,PFC,Test,0
G19,ASO6,60,PFC,Test,0
G20,ASO6,120,PFC,Test,0
G21,ASO6,120,PFC,Test,0
G22,ASO6,120,PFC,Test,0
G23,ASO6,120,PFC,Test,0
G24,Empty,,PFC,Empty,0
H1,Empty,,PFC,Empty,0
H2,Veh,0,PFC,Negative Control,0
H3,Veh,0,PFC,Negative Control,0
H4,Veh,0,PFC,Negative Control,0
H5,Veh,0,PFC,Negative Control,0
H6,Veh,0,PFC,Negative Control,0
H7,Veh,0,PFC,Negative Control,0
H8,Veh,0,PFC,Negative Control,0
H9,Veh,0,PFC,Negative Control,0
H10,Veh,0,PFC,Negative Control,0
H11,Veh,0,PFC,Negative Control,0
H12,Veh,0,PFC,Negative Control,0
H13,Veh,0,PFC,Negative Control,0
H14,Veh,0,PFC,Negative Control,0
H15,Veh,0,PFC,Negative Control,0
H16,Veh,0,PFC,Negative Control,0
H17,Veh,0,PFC,Negative Control,0
H18,Veh,0,PFC,Negative Control,0
